"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"109","8","Billingham","Preston","Second Half",01:21:59,"Carry",54.76,35.11,63.45,33.31,"No GLS",0,0,"Tap Pen",NA,"Multi-Phase",NA,8.87,"Halfway to Opposition 22"
"110","18","Billingham","Preston","Second Half",01:22:06,"Carry",58.68,27.59,62.77,22.65,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,6.41,"Halfway to Opposition 22"
"111","27","Billingham","Preston","Second Half",01:22:13,"Carry",58.85,12.88,62.6,8.83,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.52,"Halfway to Opposition 22"
"112","6","Billingham","Preston","Second Half",01:22:20,"Carry",58.85,16.92,62.25,27.36,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,10.98,"Halfway to Opposition 22"
"113","13","Billingham","Preston","Second Half",01:29:40,"Carry",-0.26,46.57,15.58,51.28,"GLS",0,0,"Other","On Target","Multi-Phase",NA,16.53,"Own 22"
"114","18","Billingham","Preston","Second Half",01:29:48,"Carry",12.18,48.03,22.4,46.34,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,10.36,"Own 22"
"115","9","Billingham","Preston","Second Half",01:30:02,"Carry",22.23,39.27,28.19,30.73,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,10.41,"Own 22 to Halfway"
"116","19","Billingham","Preston","Second Half",01:30:04,"Carry",29.38,30.06,31.42,30.17,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,2.04,"Own 22 to Halfway"
"117","17","Billingham","Durham University","Second Half",00:54:50,"Carry",54.09,34.26,66.63,26.27,"GLS",0,1,"Other",NA,"Multi-Phase",NA,14.87,"Halfway to Opposition 22"
"118","5","Billingham","Durham University","Second Half",00:54:59,"Carry",55.09,53.59,61.74,61.8,"No GLS",0,0,"Other","Off Target","Multi-Phase",NA,10.57,"Halfway to Opposition 22"
"119","13","Billingham","Durham University","Second Half",00:55:03,"Carry",60.98,63.49,67.25,59.33,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,7.52,"Halfway to Opposition 22"
"120","4","Billingham","Durham University","Second Half",00:55:10,"Carry",65.37,48.42,66.88,49.66,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,1.95,"Halfway to Opposition 22"
"121","9","Billingham","Durham University","Second Half",00:55:16,"Carry",66.75,49.55,66.5,36.39,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,13.16,"Halfway to Opposition 22"
"122","23","Billingham","Durham University","Second Half",00:57:51,"Carry",17.48,30.88,21.87,33.13,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,4.93,"Own 22"
"123","13","Billingham","Durham University","Second Half",01:00:39,"Carry",51.58,34.71,82.67,25.04,"GLS",1,0,"Other","On Target","Multi-Phase",NA,32.56,"Halfway to Opposition 22"
"124","8","Billingham","Durham University","Second Half",01:00:48,"Carry",83.43,14.92,86.06,9.97,"GLS",0,0,"Other","On Target","Multi-Phase",NA,5.61,"Opposition 22"
"125","18","Billingham","Durham University","Second Half",01:01:40,"Carry",82.67,27.4,95.21,30.55,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,12.93,"Opposition 22"
"126","8","Billingham","Durham University","Second Half",01:01:45,"Carry",94.96,34.93,97.59,39.43,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,5.21,"Opposition 22"
"127","7","Billingham","Durham University","Second Half",01:01:51,"Carry",93.2,54.49,95.46,54.83,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,2.29,"Opposition 22"
"128","17","Billingham","Durham University","Second Half",01:01:59,"Carry",93.33,47.41,95.71,50.11,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.6,"Opposition 22"
"129","18","Billingham","Durham University","Second Half",01:02:08,"Carry",91.2,36.95,99.22,34.93,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,8.27,"Opposition 22"
"130","10","Billingham","Durham University","Second Half",01:02:18,"Carry",90.95,46.85,96.97,54.72,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,9.91,"Opposition 22"
"131","17","Billingham","Durham University","Second Half",01:02:25,"Carry",95.21,61.58,99.47,60.9,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.31,"Opposition 22"
"132","8","Billingham","Durham University","Second Half",01:02:34,"Carry",94.96,57.19,100.1,50.9,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,8.12,"Opposition 22"
"133","15","Billingham","Durham University","Second Half",01:05:17,"Carry",35.66,49.1,49.83,53.82,"GLS",0,1,"Other","On Target","Multi-Phase",NA,14.94,"Own 22 to Halfway"
"134","24","Billingham","Durham University","Second Half",01:05:23,"Carry",52.21,61.24,79.79,58.77,"GLS",1,1,"Support Carry","On Target","Multi-Phase",NA,27.69,"Halfway to Opposition 22"
"135","15","Billingham","Durham University","Second Half",01:06:34,"Carry",35.66,15.14,38.04,38.19,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,23.17,"Own 22 to Halfway"
"136","13","Billingham","Durham University","Second Half",01:06:40,"Carry",34.66,53.71,50.08,62.36,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,17.68,"Own 22 to Halfway"
"137","6","Billingham","Durham University","Second Half",01:06:47,"Carry",44.56,52.69,49.83,45.84,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,8.64,"Own 22 to Halfway"
"138","8","Billingham","Durham University","Second Half",01:08:30,"Carry",47.19,45.27,62.36,41.11,"No GLS",0,0,"Tap Pen",NA,"Multi-Phase",NA,15.73,"Own 22 to Halfway"
"139","24","Billingham","Durham University","Second Half",01:09:48,"Carry",46.57,66.07,51.33,64.95,"GLS",0,0,"Other",NA,"Multi-Phase",NA,4.89,"Own 22 to Halfway"
"140","8","Billingham","Durham University","Second Half",01:09:52,"Carry",51.08,65.06,54.09,59.66,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,6.18,"Halfway to Opposition 22"
"141","23","Billingham","Durham University","Second Half",01:10:04,"Carry",49.95,4.91,61.74,4.56999999999999,"GLS",0,0,"Other","On Target","Multi-Phase",NA,11.79,"Own 22 to Halfway"
"142","13","Billingham","Durham University","Second Half",01:10:09,"Carry",62.36,6.04,77.78,7.27,"GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,15.47,"Halfway to Opposition 22"
"143","10","Billingham","Durham University","Second Half",01:11:37,"Carry",5.7,62.48,4.44,57.19,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,5.44,"Own 22"
"144","24","Billingham","Durham University","Second Half",01:13:10,"Carry",21.74,64.84,64.75,63.82,"GLS",1,0,"Other","On Target","Multi-Phase",NA,43.02,"Own 22"
"145","10","Billingham","Durham University","Second Half",01:14:40,"Carry",60.86,54.04,72.77,53.82,"No GLS",0,0,"Tap Pen","On Target","Multi-Phase",NA,11.91,"Halfway to Opposition 22"
"146","17","Billingham","Durham University","Second Half",01:14:42,"Carry",74.4,53.03,75.03,53.03,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,0.63,"Halfway to Opposition 22"
