"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"84","7","Anselmians","Leek","Second Half",01:31:19,"Carry",47.26,36.12,50.16,34.55,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.3,"Own 22 to Halfway"
"85","9","Anselmians","Manchester","First Half",00:00:38,"Carry",60.15,62.53,59.39,59.61,"No GLS",0,0,"Other",NA,"Lineout",NA,3.02,"Halfway to Opposition 22"
"86","7","Anselmians","Manchester","First Half",00:00:45,"Carry",52.57,52.32,55.15,52.55,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,2.59,"Halfway to Opposition 22"
"87","4","Anselmians","Manchester","First Half",00:00:53,"Carry",50.14,36.39,55.15,33.47,"GLS",0,0,"Other",NA,"Multi-Phase",NA,5.8,"Halfway to Opposition 22"
"88","20","Anselmians","Manchester","First Half",00:01:02,"Carry",48.93,15.19,56.96,14.62,"GLS",0,0,"Other",NA,"Multi-Phase",NA,8.05,"Own 22 to Halfway"
"89","9","Anselmians","Manchester","First Half",00:01:06,"Carry",56.81,14.74,57.27,17.43,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,2.73,"Halfway to Opposition 22"
"90","10","Anselmians","Manchester","First Half",00:01:47,"Carry",34.98,63.43,36.96,56.25,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,7.45,"Own 22 to Halfway"
"91","8","Anselmians","Manchester","First Half",00:01:56,"Carry",28.01,51.42,33.01,50.64,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,5.06,"Own 22 to Halfway"
"92","7","Anselmians","Manchester","First Half",00:03:53,"Carry",45.29,53,51.05,46.82,"GLS",0,0,"One Out",NA,"Multi-Phase",NA,8.45,"Own 22 to Halfway"
"93","19","Anselmians","Manchester","First Half",00:04:15,"Carry",38.62,13.05,47.41,24.83,"GLS",0,0,"Other",NA,"Lineout",NA,14.7,"Own 22 to Halfway"
"94","3","Anselmians","Manchester","First Half",00:06:16,"Carry",60.45,4.98,60.45,4.98,"No GLS",0,0,"Other",NA,"Lineout",NA,0,"Halfway to Opposition 22"
"95","21","Anselmians","Manchester","First Half",00:06:24,"Carry",57.72,13.73,60.6,14.4,"GLS",0,0,"One Out",NA,"Lineout",NA,2.96,"Halfway to Opposition 22"
"96","17","Anselmians","Manchester","First Half",00:06:29,"Carry",56.81,34.37,59.09,35.04,"No GLS",0,0,"Other",NA,"Lineout",NA,2.38,"Halfway to Opposition 22"
"97","15","Anselmians","Manchester","First Half",00:06:37,"Carry",51.51,60.96,48.17,59.95,"No GLS",0,0,"Other",NA,"Lineout",NA,3.49,"Halfway to Opposition 22"
"98","1","Anselmians","Manchester","First Half",00:06:47,"Carry",42.72,53.56,44.99,52.77,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,2.4,"Own 22 to Halfway"
"99","21","Anselmians","Manchester","First Half",00:06:54,"Carry",41.2,34.03,44.38,34.93,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,3.3,"Own 22 to Halfway"
"100","8","Anselmians","Manchester","First Half",00:07:00,"Carry",41.05,16.42,42.87,14.85,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,2.4,"Own 22 to Halfway"
"101","13","Anselmians","Manchester","First Half",00:10:09,"Carry",13.76,65,20.43,63.43,"GLS",0,0,"Other",NA,"Multi-Phase",NA,6.85,"Own 22"
"102","9","Anselmians","Manchester","First Half",00:10:13,"Carry",19.52,62.98,24.22,60.4,"No GLS",0,0,"Support Carry",NA,"Multi-Phase",NA,5.36,"Own 22"
"103","17","Anselmians","Manchester","First Half",00:10:23,"Carry",20.13,51.31,24.22,50.86,"GLS",0,0,"One Out",NA,"Multi-Phase",NA,4.11,"Own 22"
"104","8","Anselmians","Manchester","First Half",00:12:35,"Carry",44.69,56.25,47.57,62.2,"GLS",1,1,"Pick & Go",NA,"Scrum",NA,6.61,"Own 22 to Halfway"
"105","13","Anselmians","Manchester","First Half",00:12:36,"Carry",47.11,69.26,55.15,69.04,"No GLS",0,1,"Support Carry",NA,"Scrum",NA,8.04,"Own 22 to Halfway"
"106","13","Anselmians","Manchester","First Half",00:13:04,"Carry",58.48,55.8,58.93,56.59,"No GLS",0,1,"Kick Return",NA,"Scrum",NA,0.91,"Halfway to Opposition 22"
