"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"47","Riley Ward","HSFC","Scarborough","Second Half",01:01:06,"Carry",65.59,29.04,78.57,28.6,"GLS",0,0,"Other",NA,"Multi-Phase",NA,12.99,"Halfway to Opposition 22"
"48","Dan Waldock","HSFC","Scarborough","Second Half",01:01:09,"Carry",78.4,32.19,83.48,31.85,"No GLS",0,1,"Support Carry","On Target","Multi-Phase",NA,5.09,"Opposition 22"
"49","Matthew Fothergill","HSFC","Scarborough","Second Half",01:01:17,"Carry",83.48,31.85,85.77,34.66,"No GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,3.62,"Opposition 22"
"50","Joe Browell","HSFC","Scarborough","Second Half",01:01:29,"Carry",78.05,18.37,90.15,15.34,"GLS",0,0,"Other","On Target","Multi-Phase",NA,12.47,"Opposition 22"
"51","Dan Waldock","HSFC","Scarborough","Second Half",01:02:05,"Carry",78.92,30.84,89.63,33.31,"No GLS",0,0,"Tap Pen","On Target","Penalty",NA,10.99,"Opposition 22"
"52","22","HSFC","Scarborough","Second Half",01:02:14,"Carry",83.31,55.1,89.28,60.27,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,7.9,"Opposition 22"
"53","Joe Cholmondely","HSFC","Scarborough","Second Half",01:02:22,"Carry",84.19,54.77,89.98,49.94,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.54,"Opposition 22"
"54","Dan Waldock","HSFC","Scarborough","Second Half",01:02:27,"Carry",87.34,37.24,90.85,34.55,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.42,"Opposition 22"
"55","Matthew Fothergill","HSFC","Scarborough","Second Half",01:02:31,"Carry",88.92,33.54,90.5,34.66,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,1.94,"Opposition 22"
"56","Dan Waldock","HSFC","Scarborough","Second Half",01:02:41,"Carry",87.52,30.73,89.45,29.94,"GLS",1,1,"One Out","On Target","Multi-Phase",NA,2.09,"Opposition 22"
"57","Harry Hogg","HSFC","Scarborough","Second Half",01:02:46,"Carry",82.96,7.25,86.64,4.78,"No GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.43,"Opposition 22"
"58","Riley Ward","HSFC","Scarborough","Second Half",01:03:10,"Carry",85.59,28.71,95.24,5.12,"No GLS",0,1,"Tap Pen","On Target","Penalty",NA,25.49,"Opposition 22"
"59","Charlie Evans","HSFC","Scarborough","Second Half",01:03:13,"Carry",95.24,5.12,100.15,4.22,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,4.99,"Opposition 22"
"60","Dan Waldock","HSFC","Scarborough","Second Half",01:05:03,"Carry",20.49,16.69,27.86,5.46,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,13.43,"Own 22"
"61","Charlie Evans","HSFC","Scarborough","Second Half",01:05:14,"Carry",21.9,18.94,39.09,17.81,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,17.23,"Own 22"
"62","19","HSFC","Scarborough","Second Half",01:08:51,"Carry",56.64,15.68,63.66,26.69,"GLS",0,1,"Kick Return",NA,"Multi-Phase",NA,13.06,"Halfway to Opposition 22"
"63","16","HSFC","Scarborough","Second Half",01:09:06,"Carry",55.76,67.79,59.97,56.79,"No GLS",0,1,"Other","On Target","Multi-Phase",NA,11.78,"Halfway to Opposition 22"
"64","Joe Browell","HSFC","Scarborough","Second Half",01:09:13,"Carry",52.25,51.85,54.71,52.07,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,2.47,"Halfway to Opposition 22"
"65","23","HSFC","Scarborough","Second Half",01:09:30,"Carry",49.97,36.23,47.87,38.82,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,3.33,"Own 22 to Halfway"
"66","22","HSFC","Scarborough","Second Half",01:09:39,"Carry",43.3,52.41,43.3,52.41,"No GLS",0,0,"Support Carry","On Target","Multi-Phase",NA,0,"Own 22 to Halfway"
"67","Harry Hogg","HSFC","Scarborough","Second Half",01:09:49,"Carry",43.13,46,46.64,46.57,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.56,"Own 22 to Halfway"
"68","Jack Brown","HSFC","Scarborough","Second Half",01:10:00,"Carry",38.92,17.25,49.44,9.61,"GLS",0,0,"Other","On Target","Multi-Phase",NA,13,"Own 22 to Halfway"
"69","18","HSFC","Scarborough","Second Half",01:10:09,"Carry",44.88,16.35,50.5,10.4,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,8.18,"Own 22 to Halfway"
"70","Matthew Fothergill","HSFC","Scarborough","Second Half",01:10:15,"Carry",43.65,27.7,43.65,28.15,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,0.45,"Own 22 to Halfway"
"71","22","HSFC","Scarborough","Second Half",01:10:23,"Carry",41.02,41.85,45.06,40.39,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.3,"Own 22 to Halfway"
"72","Harry Hogg","HSFC","Scarborough","Second Half",01:10:30,"Carry",43.65,32.08,50.5,28.48,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.74,"Own 22 to Halfway"
"73","Jack Brown","HSFC","Scarborough","Second Half",01:15:56,"Carry",24.7,52.74,100.15,68.58,"GLS",1,0,"Kick Return",NA,"Multi-Phase",NA,77.09,"Own 22 to Halfway"
"74","L Tubuna","HSFC","TyneMet","First Half",00:14:05,"Carry",22.12,9.91,30.28,9.69,"No GLS",0,1,"Kick Return",NA,"Multi-Phase",NA,8.16,"Own 22 to Halfway"
"75","Joe Browell","HSFC","TyneMet","First Half",00:14:12,"Carry",27.98,22.25,33.41,22.81,"GLS",0,0,"One Out",NA,"Multi-Phase",NA,5.46,"Own 22 to Halfway"
"76","Jackson Bell","HSFC","TyneMet","First Half",00:14:38,"Carry",58.49,27.08,81.06,36.84,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,24.59,"Halfway to Opposition 22"
"77","Harry Hogg","HSFC","TyneMet","First Half",00:14:42,"Carry",82.11,36.17,100.08,45.7,"GLS",1,0,"Kick Return",NA,"Multi-Phase",NA,20.34,"Opposition 22"
"78","Hayden Hodgeson","HSFC","TyneMet","First Half",00:16:49,"Carry",31.11,14.51,37.38,16.76,"GLS",1,0,"Other",NA,"Multi-Phase",NA,6.66,"Own 22 to Halfway"
"79","Darcey Bennett","HSFC","TyneMet","First Half",00:16:57,"Carry",31.32,24.05,35.08,26.4,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,4.43,"Own 22 to Halfway"
"80","Hayden Hodgeson","HSFC","TyneMet","First Half",00:18:06,"Carry",75.21,6.21,85.04,15.97,"No GLS",0,0,"Tap Pen",NA,"Multi-Phase",NA,13.85,"Halfway to Opposition 22"
"81","Joe Browell","HSFC","TyneMet","First Half",00:18:11,"Carry",78.97,24.83,82.74,26.97,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,4.34,"Opposition 22"
"82","Lennon Coates","HSFC","TyneMet","First Half",00:18:22,"Carry",72.5,58.61,72.08,58.16,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,0.62,"Halfway to Opposition 22"
"83","Jackson Bell","HSFC","TyneMet","First Half",00:18:27,"Carry",72.08,56.92,81.9,63.21,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,11.66,"Halfway to Opposition 22"
"84","Riley Ward","HSFC","TyneMet","First Half",00:18:39,"Carry",72.7,41.66,77.72,38.41,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,5.98,"Halfway to Opposition 22"
"85","Harry Hogg","HSFC","TyneMet","First Half",00:18:47,"Carry",66.64,18.1,73.96,13.61,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,8.59,"Halfway to Opposition 22"
"86","K Shaw","HSFC","TyneMet","First Half",00:20:19,"Carry",31.53,5.99,31.74,2.73,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,3.27,"Own 22 to Halfway"
"87","Dan Waldock","HSFC","TyneMet","First Half",00:20:26,"Carry",22.33,13.05,28.6,16.76,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,7.29,"Own 22 to Halfway"
"88","Jack Brown","HSFC","TyneMet","First Half",00:22:19,"Carry",26.31,55.69,43.86,48.51,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,18.96,"Own 22 to Halfway"
