ID,Opposition,TD,MPM,HSR,SD,TS,Accels,Decels,Max_Accel,Max_Decel,cv_Accels,cv_Decels,cv_HSR,cv_MPM,cv_Max_Accel,cv_Max_Decel,cv_SD,cv_TD,cv_TS,TD_Sumcv,MPM_Sumcv,HSR_Sumcv,SD_Sumcv,TS_Sumcv,Accels_Sumcv,Decels_Sumcv,Max_Accel_Sumcv,Max_Decel_Sumcv,TD_Subcv,MPM_Subcv,HSR_Subcv,SD_Subcv,TS_Subcv,Accels_Subcv,Decels_Subcv,Max_Accel_Subcv,Max_Decel_Subcv
Ath11,Harrogate,5600.238,68.2817,1422.5118,380.695,9.1245,0,0,5.7778,10,,,15.95142129,17.18989947,89.6515921,67.71808794,17.26558923,29.60281639,2.433414782,5629.840816,85.47159947,1438.463221,397.9605892,11.55791478,,,95.4293921,77.71808794,5570.635184,51.09180053,1406.560379,363.4294108,6.691085218,,,-83.8737921,-57.71808794
Ath12,Harrogate,6253.374,76.2452,1494.0471,654.289,8.189,0,0,5.7912,6.9482,,,7.948194092,10.60251529,52.43891297,41.64285021,18.23568148,6.858597743,6.92985572,6260.232598,86.84771529,1501.995294,672.5246815,15.11885572,,,58.23011297,48.59105021,6246.515402,65.64268471,1486.098906,636.0533185,1.25914428,,,-46.64771297,-34.69465021
Ath13,Harrogate,4561.972,55.6225,976.2105,438.517,9.1067,0,0,5.6526,6.6604,,,31.95901555,12.02021804,84.19039147,77.29807725,30.47022764,41.77219973,7.775952378,4603.7442,67.64271804,1008.169516,468.9872276,16.88265238,,,89.84299147,83.95847725,4520.1998,43.60228196,944.2514844,408.0467724,1.330747622,,,-78.53779147,-70.63767725
Ath14,Harrogate,6383.515,77.8161,1184.1921,912.914,9.1334,0,0,5.0778,9.3842,,,17.67679648,18.76310491,62.15212915,42.41496688,7.366726785,18.2088331,4.658860894,6401.723833,96.57920491,1201.868896,920.2807268,13.79226089,,,67.22992915,51.79916688,6365.306167,59.05299509,1166.515304,905.5472732,4.474539106,,,-57.07432915,-33.03076688
Ath15,Harrogate,4807.911,65.1773,625.8366,228.692,8.1378,0,0,6.6623,8.6344,,,26.14248442,15.0573229,32.57898905,28.54657672,29.88028599,13.58500971,5.735026886,4821.49601,80.2346229,651.9790844,258.572286,13.87282689,,,39.24128905,37.18097672,4794.32599,50.1199771,599.6941156,198.811714,2.402773114,,,-25.91668905,-19.91217672
Ath27,Harrogate,1834.292,70.9591,359.1598,236.955,7.809,0,0,4.7704,8.4534,,,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,141.4213562,1975.713356,212.3804562,500.5811562,378.3763562,149.2303562,,,146.1917562,149.8747562,1692.870644,-70.46225624,217.7384438,95.53364376,-133.6123562,,,-136.6509562,-132.9679562
Ath1,Tynedale,5612.799,61.0197,1099.4079,256.862,7.1223,0,0,4.5,8.3378,,,39.88924933,27.47687655,58.23806546,51.87046408,49.02774214,25.55703399,5.452202412,5638.356034,88.49657655,1139.297149,305.8897421,12.57450241,,,62.73806546,60.20826408,5587.241966,33.54282345,1059.518651,207.8342579,1.670097588,,,-53.73806546,-43.53266408
Ath2,Tynedale,3995.567,63.2377,1112.6058,117.322,6.0556,0,0,5.2223,6.6312,,,24.93300909,7.866548068,8.691736048,8.999338154,35.37852387,22.44240164,6.216459097,4018.009402,71.10424807,1137.538809,152.7005239,12.2720591,,,13.91403605,15.63053815,3973.124598,55.37115193,1087.672791,81.94347613,-0.160859097,,,-3.469436048,-2.368138154
Ath3,Tynedale,3600.124,53.5202,666.6996,37.025,5.9556,0,0,4.2788,7.2178,,,75.72137583,63.18636466,56.44375076,62.13624412,58.60439044,65.65224392,55.9844513,3665.776244,116.7065647,742.4209758,95.62939044,61.9400513,,,60.72255076,69.35404412,3534.471756,-9.666164661,590.9782242,-21.57939044,-50.0288513,,,-52.16495076,-54.91844412
Ath5,Tynedale,3685.329,59.5689,837.8907,79.673,7.0623,0,0,6.9912,5.0489,,,24.04852892,17.33604156,56.16972124,56.81722424,31.00745653,17.59158591,6.989048381,3702.920586,76.90494156,861.9392289,110.6804565,14.05134838,,,63.16092124,61.86612424,3667.737414,42.23285844,813.8421711,48.66554347,0.073251619,,,-49.17852124,-51.76832424
