"","ID","Team","Opponent","Half","Minute","Event_Type","X_Start","Y_Start","X_End","Y_End","Additional_Info","Type","Body_Part","Rec_Player","Complete","Height","Corner_Type","Outcome","Foul_Type","Event_Won","Offence","Shot_Outcome","Possession_Type","GK_Type","Interception_Type","Assist_Type","Card_Type","Duel_Type","Duel_Outcome","Dribble_Outcome","Beaten_By","Block_Outcome","Block_Body_Part","Clearance_Type","Player_On","Player_Off","Sub_Type"
"79",9,"Hartlepool","Rotherham","First Half",00:14:54,"Pass",96.11,5.37,96.56,26.39,NA,"Cross","Right Foot","Opposition","Incompleted","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2,"Hartlepool","Rotherham","First Half",00:15:19,"Throw in",65.68,0,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,"Retained",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",9,"Hartlepool","Rotherham","First Half",00:15:21,"Dribble",87.05,6.3,94.18,3.97,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
"82",9,"Hartlepool","Rotherham","First Half",00:15:23,"Pass",93.74,2.57,94.33,35.96,NA,"Shot","Right Foot","Opposition","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",4,"Hartlepool","Rotherham","First Half",00:15:26,"Pass",76.07,31.06,82.3,30.13,NA,"Standard","Right Foot","Opposition","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",6,"Hartlepool","Rotherham","First Half",00:15:32,"Dribble",46.67,53.95,39.7,67.73,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
"85",6,"Hartlepool","Rotherham","First Half",00:15:34,"Pass",40.59,66.56,14.61,56.75,NA,"Standard","Right Foot","Ath1","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1,"Hartlepool","Rotherham","First Half",00:15:37,"Pass",14.9,55.58,21.73,80.34,NA,"Standard","Right Foot","Ath6","Completed","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",6,"Hartlepool","Rotherham","First Half",00:15:40,"Pass",22.92,94.12,44.6,103.23,NA,"Other","Left Foot","Opposition","Incompleted","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",3,"Hartlepool","Rotherham","First Half",00:16:07,"Duel",28.27,96.22,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"89",3,"Hartlepool","Rotherham","First Half",00:16:26,"Duel",17.43,96.22,NA,NA,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ground","Won",NA,NA,NA,NA,NA,NA,NA,NA
"90",3,"Hartlepool","Rotherham","First Half",00:16:28,"Dribble",18.32,87.35,22.03,79.64,NA,NA,NA,"AthNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Successful",NA,NA,NA,NA,NA,NA,NA
"91",3,"Hartlepool","Rotherham","First Half",00:16:29,"Pass",20.99,79.17,23.52,91.08,NA,"Standard","Left Foot","Opposition","Incompleted","Ground",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
